date,pds,creates
2022-11-17,https://bsky.social,6
2022-11-18,https://bsky.social,10
2022-11-22,https://bsky.social,3
2022-11-23,https://bsky.social,5
2022-11-24,https://bsky.social,3
2022-11-25,https://bsky.social,1
2022-11-26,https://bsky.social,2
2022-11-28,https://bsky.social,1
2022-11-29,https://bsky.social,3
2022-11-30,https://bsky.social,11
2022-12-01,https://bsky.social,2
2022-12-03,https://bsky.social,1
2022-12-06,https://bsky.social,1
2022-12-07,https://bsky.social,10
2022-12-11,https://bsky.social,1
2022-12-13,https://bsky.social,1
2022-12-14,https://bsky.social,3
2022-12-15,https://bsky.social,4
2022-12-16,https://bsky.social,3
2022-12-17,https://bsky.social,2
2022-12-18,https://bsky.social,5
2022-12-19,https://bsky.social,1
2022-12-24,https://bsky.social,1
2022-12-26,https://bsky.social,1
2022-12-28,https://bsky.social,1
2023-01-02,https://bsky.social,2
2023-01-04,https://bsky.social,9
2023-01-05,https://bsky.social,3
2023-01-06,https://bsky.social,1
2023-01-08,https://bsky.social,1
2023-01-13,https://bsky.social,1
2023-01-15,https://bsky.social,1
2023-01-16,https://bsky.social,3
2023-01-17,https://bsky.social,4
2023-01-18,https://bsky.social,7
2023-01-19,https://bsky.social,12
2023-01-20,https://bsky.social,8
2023-01-21,https://bsky.social,14
2023-01-22,https://bsky.social,5
2023-01-23,https://bsky.social,9
2023-01-24,https://bsky.social,12
2023-01-25,https://bsky.social,12
2023-01-26,https://bsky.social,9
2023-01-27,https://bsky.social,5
2023-01-28,https://bsky.social,10
2023-01-29,https://bsky.social,9
2023-01-30,https://bsky.social,2
2023-01-31,https://bsky.social,4
2023-02-01,https://bsky.social,4
2023-02-02,https://bsky.social,4
2023-02-03,https://bsky.social,21
2023-02-04,https://bsky.social,23
2023-02-05,https://bsky.social,8
2023-02-06,https://bsky.social,3
2023-02-07,https://bsky.social,9
2023-02-08,https://bsky.social,1
2023-02-09,https://bsky.social,2
2023-02-10,ignore,1
2023-02-10,https://bsky.social,1
2023-02-11,https://bsky.social,2
2023-02-12,https://bsky.social,2
2023-02-13,https://bsky.social,3
2023-02-15,https://bsky.social,7
2023-02-16,https://bsky.social,22
2023-02-17,https://bsky.social,9
2023-02-18,https://bsky.social,13
