pds,creates,percentage,samples_tested,samples_reachable,reachable_pct
https://pds.trump.com,17435251,21.8567,5,0,0
https://morel.us-east.host.bsky.network,15895281,19.9262,5,1,20
https://bsky.social,2026867,2.5409,5,5,100
https://plc.surge.sh/gallery,1769329,2.2180,5,0,0
https://leccinum.us-west.host.bsky.network,658655,0.8257,5,4,80
https://agrocybe.us-west.host.bsky.network,658103,0.8250,5,5,100
https://cortinarius.us-west.host.bsky.network,657926,0.8248,5,5,100
https://pholiota.us-west.host.bsky.network,657024,0.8236,5,4,80
https://calocybe.us-west.host.bsky.network,657001,0.8236,5,5,100
https://gomphidius.us-west.host.bsky.network,656922,0.8235,5,4,80
https://hebeloma.us-west.host.bsky.network,656545,0.8230,5,4,80
https://entoloma.us-west.host.bsky.network,656418,0.8229,5,4,80
https://hygrophorus.us-west.host.bsky.network,656087,0.8225,5,5,100
https://bankera.us-west.host.bsky.network,655710,0.8220,5,5,100
https://conocybe.us-west.host.bsky.network,557101,0.6984,5,4,80
https://hydnum.us-west.host.bsky.network,556605,0.6978,5,5,100
https://maitake.us-west.host.bsky.network,555758,0.6967,5,5,100
https://chaga.us-west.host.bsky.network,555744,0.6967,5,5,100
https://agaric.us-west.host.bsky.network,555697,0.6966,5,5,100
https://verpa.us-west.host.bsky.network,555205,0.6960,5,4,80
https://lepista.us-west.host.bsky.network,554941,0.6957,5,5,100
https://blewit.us-west.host.bsky.network,554938,0.6957,5,5,100
https://boletus.us-west.host.bsky.network,554126,0.6946,5,5,100
https://russula.us-west.host.bsky.network,552946,0.6932,5,5,100
https://blusher.us-east.host.bsky.network,521989,0.6544,5,5,100
https://yellowfoot.us-west.host.bsky.network,520687,0.6527,5,5,100
https://psathyrella.us-west.host.bsky.network,502771,0.6303,5,5,100
https://hollowfoot.us-west.host.bsky.network,502602,0.6301,5,5,100
https://fuzzyfoot.us-west.host.bsky.network,502131,0.6295,5,5,100
https://panus.us-west.host.bsky.network,501913,0.6292,5,5,100
https://mazegill.us-west.host.bsky.network,500959,0.6280,5,4,80
https://coral.us-east.host.bsky.network,492318,0.6172,5,5,100
https://lobster.us-east.host.bsky.network,491878,0.6166,5,4,80
https://woodear.us-west.host.bsky.network,491611,0.6163,5,5,100
https://magic.us-west.host.bsky.network,490099,0.6144,5,5,100
https://pioppino.us-west.host.bsky.network,488926,0.6129,5,4,80
https://waxcap.us-west.host.bsky.network,488670,0.6126,5,5,100
https://elfcup.us-east.host.bsky.network,488613,0.6125,5,5,100
https://polypore.us-west.host.bsky.network,487752,0.6114,5,5,100
https://goldenear.us-west.host.bsky.network,487206,0.6108,5,5,100
https://rooter.us-west.host.bsky.network,486908,0.6104,5,5,100
https://dapperling.us-west.host.bsky.network,486866,0.6103,5,5,100
https://suillus.us-west.host.bsky.network,486704,0.6101,5,5,100
https://mottlegill.us-west.host.bsky.network,486556,0.6099,5,5,100
https://grisette.us-west.host.bsky.network,486550,0.6099,5,5,100
https://mycena.us-west.host.bsky.network,486303,0.6096,5,5,100
https://shaggymane.us-west.host.bsky.network,479150,0.6007,5,5,100
https://matsutake.us-west.host.bsky.network,479122,0.6006,5,5,100
https://chanterelle.us-west.host.bsky.network,478840,0.6003,5,5,100
https://oysterling.us-west.host.bsky.network,478643,0.6000,5,5,100
https://milkcap.us-west.host.bsky.network,478590,0.6000,5,5,100
https://woodtuft.us-west.host.bsky.network,478546,0.5999,5,5,100
https://bracket.us-west.host.bsky.network,478418,0.5997,5,5,100
https://gomphus.us-west.host.bsky.network,478383,0.5997,5,4,80
